marca,modelo,año
Chevrolet,Suburban 1500,2008
Chrysler,Town & Country,2002
Mazda,Protege,2001
Lexus,HS,2011
Mercedes-Benz,SL-Class,2003
Chevrolet,Astro,1996
Chevrolet,Astro,2000
Ford,F250,2009
Mercedes-Benz,CLK-Class,1999
Ford,F250,2005
Mitsubishi,Montero Sport,2004
Mercury,Sable,2003
Infiniti,IPL G,2012
Pontiac,Firebird,2001
Chrysler,Grand Voyager,2000
Nissan,Pathfinder,1992
GMC,3500 Club Coupe,1998
Chevrolet,Corvette,1955
Ford,Expedition,2004
Mazda,CX-9,2011
BMW,M3,2012
Maserati,Biturbo,1986
Acura,RL,2001
GMC,Yukon,2012
Mercedes-Benz,G-Class,2003
Mitsubishi,Tredia,1984
Dodge,Neon,1997
Audi,100,1989
Lexus,GS,2010
BMW,330,2005
Hyundai,Elantra,2013
Lexus,SC,2005
Acura,TL,2005
Volvo,S80,2007
Chevrolet,Express 2500,2006
Volkswagen,Type 2,1991
BMW,6 Series,1989
Ford,Fusion,2008
Nissan,Frontier,1999
Toyota,Supra,1996
Mazda,MX-6,1995
Mercedes-Benz,SL-Class,1985
GMC,Savana 2500,1996
Volkswagen,Type 2,1988
GMC,Sierra 2500,2010
Toyota,RAV4,1996
Ford,Ranger,2001
Jaguar,S-Type,2004
Mercedes-Benz,Sprinter,2011
Ford,F-Series,1986
Mazda,MX-3,1996
Suzuki,Esteem,1995
Geo,Metro,1997
GMC,Savana 2500,2006
Nissan,Pathfinder,2000
Chevrolet,G-Series G30,1993
Jaguar,XK Series,2004
Mercury,Cougar,1970
GMC,Sierra 1500,2010
Mercury,Sable,2003
Nissan,Sentra,2003
Suzuki,XL7,2006
Mazda,323,1992
Acura,TSX,2007
Mazda,Tribute,2009
Toyota,Camry Hybrid,2011
Mitsubishi,Endeavor,2009
Chevrolet,Caprice Classic,1994
Hyundai,Scoupe,1994
Plymouth,Colt Vista,1994
Cadillac,STS,2007
Ford,Taurus,1999
Toyota,Avalon,2006
Kia,Sportage,2007
Chevrolet,Sportvan G20,1992
Mazda,626,1990
Nissan,350Z,2009
Hyundai,Accent,1996
Lincoln,Navigator L,2007
GMC,Savana 3500,1998
Mazda,MPV,2001
Chevrolet,Colorado,2007
Mercedes-Benz,G-Class,2007
Lincoln,Town Car,2005
Honda,Fit,2008
GMC,Sierra 1500,2001
Chevrolet,Express 3500,2009
Kia,Spectra5,2006
Suzuki,Grand Vitara,2007
Volkswagen,Golf,2002
Jaguar,X-Type,2006
Hyundai,Sonata,1996
Chevrolet,Blazer,1992
Chevrolet,Tahoe,2005
Mazda,Mazda3,2010
Volkswagen,GTI,2009
Mercury,Topaz,1993
GMC,Envoy,1999
Mitsubishi,Diamante,1995
Pontiac,Grand Prix,1974
Dodge,Viper,2005
Dodge,Caravan,1999
Ford,Fusion,2013
Volkswagen,Jetta III,1994
Lotus,Esprit,2002
Ford,E150,2010
Mitsubishi,Lancer Evolution,2002
Dodge,Viper,1995
Volvo,S60,2008
Ford,E-Series,1985
Ford,Taurus,1988
Infiniti,FX,2010
Mercedes-Benz,CLK-Class,2004
Nissan,Quest,2006
Dodge,Durango,2006
Pontiac,Bonneville,1996
Mitsubishi,Diamante,2005
Kia,Spectra5,2006
